esi,variable,code,label,n,pct,outcome_rate
3,RACERETH,1,Hispanic,17961,57.1,15.58
3,RACERETH,2,Non-Hisp White,7313,23.2,9.78
3,RACERETH,3,Non-Hisp Black,4859,15.4,11.22
3,RACERETH,4,Non-Hisp Other,1327,4.2,13.94
4,RACERETH,1,Hispanic,10609,52.6,2.93
4,RACERETH,2,Non-Hisp White,5198,25.8,1.85
4,RACERETH,3,Non-Hisp Black,3645,18.1,2.33
4,RACERETH,4,Non-Hisp Other,730,3.6,1.37
5,RACERETH,1,Hispanic,1545,49.8,3.75
5,RACERETH,2,Non-Hisp White,868,28.0,3.8
5,RACERETH,3,Non-Hisp Black,590,19.0,2.37
5,RACERETH,4,Non-Hisp Other,99,3.2,4.04
3,SEX,1,Male,17945,57.0,12.61
3,SEX,2,Female,13515,43.0,14.67
4,SEX,1,Male,10604,52.5,2.24
4,SEX,2,Female,9578,47.5,2.76
5,SEX,1,Male,1506,48.5,3.98
5,SEX,2,Female,1596,51.5,3.07
