variable,set,n_valid,pct_missing
AGE,A,54744,0.0
SEX,A,54744,0.0
ARREMS,A,54744,0.0
temp_f,A,52935,3.3
PULSE,A,52926,3.32
RESPR,A,53231,2.76
BPSYS,A,49139,10.24
BPDIAS,A,49070,10.36
POPCT,A,52556,4.0
PAINSCALE,A,41974,23.33
RFV1,A,54744,0.0
RFV2,A,54744,0.0
shock_index,A,47919,12.47
ASTHMA,B,54744,0.0
CANCER,B,54744,0.0
COPD,B,54744,0.0
CHF,B,54744,0.0
DEPRN,B,54744,0.0
DIABTYP1,B,54744,0.0
DIABTYP2,B,54744,0.0
ESRD,B,54744,0.0
EDHIV,B,54744,0.0
HTN,B,54744,0.0
OBESITY,B,54744,0.0
SUBSTAB,B,54744,0.0
RACERETH,fairness only - not a predictor,54744,0.0
PAYTYPER,fairness only - not a predictor,54744,0.0
