variable,esi,median,p25,p75,n_valid,pct_missing
temp_f,3,98.2,97.8,98.6,30281,3.5
temp_f,4,98.2,97.9,98.6,19553,2.9
temp_f,5,98.2,97.8,98.6,2980,3.9
PULSE,3,87.0,76.0,101.0,30512,2.8
PULSE,4,89.0,77.0,104.0,19468,3.4
PULSE,5,88.0,77.0,104.0,2863,7.6
RESPR,3,18.0,16.0,20.0,30294,2.6
RESPR,4,18.0,16.0,20.0,19357,2.9
RESPR,5,18.0,16.0,20.0,2943,3.8
BPSYS,3,133.0,119.0,149.0,29372,6.6
BPSYS,4,129.0,116.0,144.0,17229,14.6
BPSYS,5,128.0,114.0,143.0,2530,18.4
BPDIAS,3,79.0,69.0,88.0,29322,6.7
BPDIAS,4,77.0,69.0,86.0,17190,14.8
BPDIAS,5,76.0,67.0,86.0,2518,18.7
POPCT,3,98.0,97.0,99.0,30304,3.2
POPCT,4,98.0,97.0,100.0,19132,4.7
POPCT,5,98.0,97.0,100.0,2801,7.9
PAINSCALE,3,5.0,0.0,8.0,24705,21.5
PAINSCALE,4,5.0,0.0,8.0,15155,24.9
PAINSCALE,5,2.0,0.0,7.0,2114,31.9
shock_index,3,0.6438356164383562,0.5361882311856121,0.7714285714285715,28727,8.6
shock_index,4,0.6637168141592921,0.5569620253164557,0.7894736842105263,16779,16.8
shock_index,5,0.6610169491525424,0.5555555555555556,0.8067226890756303,2385,23.1
